State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Alabama,Hoover,35244,881,https://www.homedepot.com/l/Hoover/AL/Birmingham/35244/881,76.6,95.5,89.8,0.04,64.0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png,SE
Alabama,Inverness,35242,875,https://www.homedepot.com/l/Inverness/AL/Birmingham/35242/875,77.9,96.8,91.3,0.05,60.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,"Jasper,AL",35501,810,https://www.homedepot.com/l/Jasper-AL/AL/Jasper/35501/810,73.8,96.8,89.5,0.0,65.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Alabama,Mobile,36609,865,https://www.homedepot.com/l/Mobile/AL/Mobile/36609/865,77.0,90.7,86.0,0.07,72.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Montgomery,36117,883,https://www.homedepot.com/l/Montgomery/AL/Montgomery/36117/883,73.2,94.1,87.7,0.11,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,N Huntsville,35801,804,https://www.homedepot.com/l/N-Huntsville/AL/Huntsville/35801/804,73.8,90.9,84.9,0.2,67.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Alabama,"Oxford,AL",36203,866,https://www.homedepot.com/l/Oxford-AL/AL/Oxford/36203/866,72.0,95.2,87.0,0.06,70.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Pelham,35124,805,https://www.homedepot.com/l/Pelham/AL/Pelham/35124/805,76.6,95.5,89.8,0.04,64.0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png,SE
Alabama,Pell City,35125,818,https://www.homedepot.com/l/Pell-City/AL/Pell-City/35125/818,73.0,95.7,89.0,0.04,68.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Phenix City,36867,817,https://www.homedepot.com/l/Phenix-City/AL/Phenix-City/36867/817,73.8,97.5,88.3,0.22,67.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Prattville,36066,806,https://www.homedepot.com/l/Prattville/AL/Prattville/36066/806,74.5,92.5,87.1,0.12,70.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,S Huntsville,35803,888,https://www.homedepot.com/l/S-Huntsville/AL/Huntsville/35803/888,71.8,91.0,85.6,0.06,68.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Scottsboro,35768,812,https://www.homedepot.com/l/Scottsboro/AL/Scottsboro/35768/812,70.7,89.8,84.6,0.04,70.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Sylacauga,35150,809,https://www.homedepot.com/l/Sylacauga/AL/Sylacauga/35150/809,71.8,97.7,88.2,0.2,70.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Trussville,35173,887,https://www.homedepot.com/l/Trussville/AL/Trussville/35173/887,75.2,97.0,90.4,0.02,64.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Tuscaloosa,35404,877,https://www.homedepot.com/l/Tuscaloosa/AL/Tuscaloosa/35404/877,75.4,99.0,91.0,0.0,61.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,SE
Alabama,W Huntsville,35757,803,https://www.homedepot.com/l/W-Huntsville/AL/Madison/35757/803,72.5,91.2,83.8,0.28,72.0,Patchy light rain with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,SE
Alabama,W Mobile,36695,801,https://www.homedepot.com/l/W-Mobile/AL/Mobile/36695/801,76.1,92.3,86.7,0.06,72.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alaska,Anchorage,99503,1301,https://www.homedepot.com/l/Anchorage/AK/Anchorage/99503/1301,55.8,64.9,62.2,0.1,76.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,W
Alaska,Fairbanks,99701,1303,https://www.homedepot.com/l/Fairbanks/AK/Fairbanks/99701/1303,53.8,68.5,63.2,0.02,59.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,W
Alaska,Juneau,99801,8939,https://www.homedepot.com/l/Juneau/AK/Juneau/99801/8939,48.6,58.6,56.0,0.02,86.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,W
Alaska,Kenai,99611,8938,https://www.homedepot.com/l/Kenai/AK/Kenai/99611/8938,56.1,61.2,59.5,0.0,75.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,W
Alaska,Ne Anchorage,99508,1302,https://www.homedepot.com/l/Ne-Anchorage/AK/Anchorage/99508/1302,55.0,67.1,62.8,0.07,74.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,W
