State,City,Zipcode,Store Number,URL
Arizona,Ne Mesa,85215,406,https://www.homedepot.com/l/Ne-Mesa/AZ/Mesa/85215/406
Arizona,Nogales,85621,8488,https://www.homedepot.com/l/Nogales/AZ/Nogales/85621/8488
Arizona,North Mesa,85204,473,https://www.homedepot.com/l/North-Mesa/AZ/Mesa/85204/473
Arizona,Ocotillo/S Chandler,85248,417,https://www.homedepot.com/l/Ocotillo-S-Chandler/AZ/Chandler/85248/417
Arizona,Payson,85541,422,https://www.homedepot.com/l/Payson/AZ/Payson/85541/422
Arizona,Peoria,85345,453,https://www.homedepot.com/l/Peoria/AZ/Peoria/85345/453
Arizona,Peoria/Happy Valley,85383,424,https://www.homedepot.com/l/Peoria-Happy-Valley/AZ/Peoria/85383/424
Arizona,Phoenix (51st/Baseline),85339,447,https://www.homedepot.com/l/Phoenix-51st-Baseline/AZ/Laveen/85339/447
Arizona,Prescott,86301,452,https://www.homedepot.com/l/Prescott/AZ/Prescott/86301/452
Arizona,Prescott Valley,86314,446,https://www.homedepot.com/l/Prescott-Valley/AZ/Prescott-Valley/86314/446
Arizona,Queen Creek,85142,415,https://www.homedepot.com/l/Queen-Creek/AZ/Queen-Creek/85142/415
Arizona,Ray Road,85226,476,https://www.homedepot.com/l/Ray-Road/AZ/Chandler/85226/476
Arizona,Scottsdale,85250,457,https://www.homedepot.com/l/Scottsdale/AZ/Scottsdale/85250/457
Arizona,Scottsdale-Shea,85258,420,https://www.homedepot.com/l/Scottsdale-Shea/AZ/Scottsdale/85258/420
Arizona,Show Low,85901,411,https://www.homedepot.com/l/Show-Low/AZ/Show-Low/85901/411
Arizona,Sierra Vista,85635,443,https://www.homedepot.com/l/Sierra-Vista/AZ/Sierra-Vista/85635/443
Arizona,Superstition,85209,456,https://www.homedepot.com/l/Superstition/AZ/Mesa/85209/456
Arizona,Surprise,85374,483,https://www.homedepot.com/l/Surprise/AZ/Surprise/85374/483
Arizona,Sw Phoenix,85037,413,https://www.homedepot.com/l/Sw-Phoenix/AZ/Phoenix/85037/413
Arizona,Tatum &amp; Bell,85032,464,https://www.homedepot.com/l/Tatum-Bell/AZ/Phoenix/85032/464
Arizona,Tempe,85284,458,https://www.homedepot.com/l/Tempe/AZ/Tempe/85284/458
Arizona,Tempe(K),85283,489,https://www.homedepot.com/l/Tempe-K/AZ/Tempe/85283/489
Arizona,Thatcher,85552,445,https://www.homedepot.com/l/Thatcher/AZ/Thatcher/85552/445
Arizona,Thomas Rd,85018,477,https://www.homedepot.com/l/Thomas-Rd/AZ/Phoenix/85018/477
Arizona,Thunderbird,85023,468,https://www.homedepot.com/l/Thunderbird/AZ/Phoenix/85023/468
Arizona,Tramonto,85086,6948,https://www.homedepot.com/l/Tramonto/AZ/Phoenix/85086/6948
